product_title,product_url,product_image,product_brand_type,product_brand_name,product_offers_type,product_offers_price,product_offers_priceCurrency,product_rating_value,product_reviewCount,sale_price,sale_price_currency
Digital Products Best Seller | Discover Over 100 Actionable Digital Product Ideas For Top Sellers + AI Bonus | Digital Products Hustle,https://www.etsy.com/listing/1531911470/digital-products-best-seller-discover,https://i.etsystatic.com/45843102/r/il/22fcee/5236778792/il_fullxfull.5236778792_fijo.jpg,Brand,ArtiCraftAI,Offer,1.99,USD,5,15,0.99,USD
500 Digital Product Ideas To Sell On Etsy | Printables to sell on Etsy | Passive income ideas | Earn with Etsy Selling Digital Product Ebook,https://www.etsy.com/listing/1334390240/500-digital-product-ideas-to-sell-on,https://i.etsystatic.com/38998832/r/il/d3b57b/4353602298/il_fullxfull.4353602298_hsvk.jpg,Brand,CreativeCraftersHQ,Offer,2.99,USD,5,1,0.99,USD
250 Halloween Digital Product Ideas Sell on Etsy Best Selling Items 2023 Digital Products Best Seller Digital Top Sellers Best Sellers,https://www.etsy.com/listing/1533250042/250-halloween-digital-product-ideas-sell,https://i.etsystatic.com/45372588/r/il/d1e734/5204544680/il_fullxfull.5204544680_ti7i.jpg,Brand,Helply,Offer,5.59,USD,5,13,0.99,USD
"How I make Over 10,000 a month Selling on Amazon: Learn how to sell on amazon and make a profit -#1 Best Seller Ebook -by YAMIE MICHELIN",https://www.etsy.com/listing/1295177512/how-i-make-over-10000-a-month-selling-on,https://i.etsystatic.com/32136125/r/il/6d184e/5115138908/il_fullxfull.5115138908_k87i.jpg,Brand,YamieMichelin,Offer,48.95,USD,4.7924,764,0.99,USD
Everything You Need To Know About Creating & Selling Editable Templates From Canva - Beginner&#39;s Guide - Make Passive Income,https://www.etsy.com/listing/1315356277/everything-you-need-to-know-about,https://i.etsystatic.com/31869606/r/il/1ee457/4207555376/il_fullxfull.4207555376_ijkp.jpg,Brand,ThatDigitalDarling,Offer,10.00,USD,4.7516,773,0.99,USD
"Genuine leather wallet, cobra mens wallet, three folds and 9 card slots, handmade products free shipping",https://www.etsy.com/listing/672365767/genuine-leather-wallet-cobra-mens-wallet,https://i.etsystatic.com/19192877/r/il/97decb/1782368963/il_fullxfull.1782368963_5c7e.jpg,Brand,IndoLeatherShop,Offer,49.99,USD,5,2,0.99,USD
"Crochet basket, plant basket, crochet basket perfect home decor, handmade small crochet basket, homeware, Best Selling Items.",https://www.etsy.com/listing/892913651/crochet-basket-plant-basket-crochet,https://i.etsystatic.com/23638947/r/il/fd2444/2668832541/il_fullxfull.2668832541_8mic.jpg,Brand,CamiCrochetDesigns,Offer,26.90,USD,5,49,0.99,USD
"HAPPIMESS Playroom Decor, wall art prints, Playroom Printable, Nursery Wall Art, Best Selling store, Kids Wall Art Printable, quote kids",https://www.etsy.com/listing/1158798807/happimess-playroom-decor-wall-art-prints,https://i.etsystatic.com/13006140/r/il/af21d5/3591007754/il_fullxfull.3591007754_7lvh.jpg,Brand,ArtPrintsFactory,Offer,5.00,USD,4.9349,15207,0.99,USD
"Goodnight Poem in Mint, Nursery Prints, Best Selling Art, Gender Neutral Nursery, Popular Printables. DIGITAL DOWNLOAD",https://www.etsy.com/listing/1560411561/goodnight-poem-in-mint-nursery-prints,https://i.etsystatic.com/6408804/r/il/bea284/5309729349/il_fullxfull.5309729349_lf5g.jpg,Brand,TinyArtClub,Offer,6.01,USD,5,3,6.01,USD
"It&#39;s A Beautiful Day To Sell A House Shirt, Real Estate Agent, Selling Homes Shirt, Real Estate Shirt, Real Estate Broker T-Shirt, Funny Tee",https://www.etsy.com/listing/1325365967/its-a-beautiful-day-to-sell-a-house,https://i.etsystatic.com/25041895/r/il/ac42f1/4252815404/il_fullxfull.4252815404_s2r6.jpg,Brand,EverythingAfterCo,Offer,29.99,USD,4.935,7169,6.01,USD
